playerID,reportTimeStamp,reportDateTime,sessionID,levelName,winnerID,winnerHP,framesCount,pauseframes,levelTime,pcTravelDistance,inputTimes,bulletsFiredPC,pcRating,,,
noCookie,1697466804.400559,Mon 16 Oct 2023 14:33:24 GMT,133419403562170000-0.2985196,Level 1,2,5,480,259,8.609399,0,7,5,2,,,
noCookie,1697575183.5830998,Tue 17 Oct 2023 20:39:43 GMT,133420487524850000-0.477354,Level 1,2,5,1254,1,20.88628,278.7328,74,19,1,,,
noCookie,1697575183.5830998,Tue 17 Oct 2023 20:39:43 GMT,133420487524850000-0.477354,Level 1,2,5,1254,2,20.88628,278.7328,74,19,1,,,
noCookie,1697575183.5830998,Tue 17 Oct 2023 20:39:43 GMT,133420487524850000-0.477354,Level 1,1,5,1254,0,20.88628,278.7328,74,19,1,,,
noCookie,1697575231.9680476,Tue 17 Oct 2023 20:40:31 GMT,133420487524850000-0.477354,Level 2,3,5,2497,0,41.62393,866.1687,75,10,1,,,
noCookie,1697575660.769426,Tue 17 Oct 2023 20:47:40 GMT,133420492430091065-0.195408,Level 1,1,5,5080,0,10.1368,338.209,32,27,2,,,
noCookie,1697575669.0503492,Tue 17 Oct 2023 20:47:49 GMT,133420492430091065-0.195408,Level 2,3,5,2960,0,6.239122,122.8003,30,28,2,,,
noCookie,1697620922.9930947,Wed 18 Oct 2023 09:22:02 GMT,|133420943525200000-0,706209|,Level 1,1,5,4554,0,|76,76927|,|980,9316|,135,12,4
noCookie,1697631832.2283485,Wed 18 Oct 2023 12:23:52 GMT,|133421053822880000-0,5727653|,Level 1,1,5,2205,0,|36,75509|,0,62,25,1,
